高度_km,马赫数,静态温度_K,静态温度_C,静态压力_Pa,静态压力_kPa,静态压力_atm,密度_kg_m3,声速_m_s,飞行速度_m_s,飞行速度_km_h,总温_K,总温_C,总压_Pa,总压_kPa,总压_atm,动压_Pa,动压_kPa,动力粘度_Pa_s,运动粘度_m2_s,雷诺数_m
1.0,0.95,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,319.6118,1150.6024,332.4878,59.3378,160645.14,160.6451,1.585444,56778.23,56.7782,1.758e-05,1.58123e-05,20212891.83
1.0,1.0,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,336.4335,1211.1605,337.98,64.83,170126.12,170.1261,1.679014,62912.17,62.9122,1.758e-05,1.58123e-05,21276728.24
1.0,1.2,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,403.7202,1453.3926,362.7652,89.6152,217942.61,217.9426,2.150926,90593.53,90.5935,1.758e-05,1.58123e-05,25532073.89
1.0,1.5,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,504.6502,1816.7407,408.3925,135.2425,329932.15,329.9322,3.256177,141552.39,141.5524,1.758e-05,1.58123e-05,31915092.36
1.0,2.0,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,672.8669,2422.3209,506.97,233.82,703218.68,703.2187,6.940229,251648.68,251.6487,1.758e-05,1.58123e-05,42553456.48
1.0,2.5,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,841.0837,3027.9012,633.7125,360.5625,1535590.61,1535.5906,15.155101,393201.07,393.2011,1.758e-05,1.58123e-05,53191820.59
1.0,3.0,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,1009.3004,3633.4814,788.62,515.47,3301336.12,3301.3361,32.581654,566209.54,566.2095,1.758e-05,1.58123e-05,63830184.71
1.0,4.0,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,1345.7338,4844.6418,1182.93,909.78,13646118.86,13646.1189,134.676722,1006594.74,1006.5947,1.758e-05,1.58123e-05,85106912.95
1.0,5.0,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,1682.1673,6055.8023,1689.9,1416.75,47551695.84,47551.6958,469.29875,1572804.28,1572.8043,1.758e-05,1.58123e-05,106383641.19
1.0,6.0,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,2018.6008,7266.9628,2309.53,2036.38,141900889.17,141900.8892,1400.452891,2264838.16,2264.8382,1.758e-05,1.58123e-05,127660369.43
1.0,8.0,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,2691.4677,9689.2837,3886.77,3613.62,877431932.85,877431.9328,8659.579895,4026378.96,4026.379,1.758e-05,1.58123e-05,170213825.9
1.0,10.0,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,3364.3346,12111.6046,5914.65,5641.5,3814206176.03,3814206.176,37643.288192,6291217.12,6291.2171,1.758e-05,1.58123e-05,212767282.38
3.0,0.1,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,32.8577,118.2879,269.1873,-3.9627,70600.44,70.6004,0.696772,490.76,0.4908,1.694e-05,1.86294e-05,1763759.77
3.0,0.3,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,98.5732,354.8636,273.4857,0.3357,74625.56,74.6256,0.736497,4416.83,4.4168,1.694e-05,1.86294e-05,5291279.3
